nama_provinsi,prevalensi_balita_stunting
ACEH,29.4
SUMATERA UTARA,18.9
SUMATERA BARAT,23.6
RIAU,13.6
JAMBI,13.5
SUMATERA SELATAN,20.3
BENGKULU,20.2
LAMPUNG,14.9
KEPULAUAN BANGKA BELITUNG,20.6
KEPULAUAN RIAU,16.8
DKI JAKARTA,17.6
JAWA BARAT,21.7
JAWA TENGAH,20.7
DI YOGYAKARTA,18
JAWA TIMUR,17.7
BANTEN,24
BALI,7.2
NUSA TENGGARA BARAT,24.6
NUSA TENGGARA TIMUR,37.9
KALIMANTAN BARAT,24.5
KALIMANTAN TENGAH,23.5
KALIMANTAN SELATAN,24.7
KALIMANTAN TIMUR,22.9
KALIMANTAN UTARA,17.4
SULAWESI UTARA,21.3
SULAWESI TENGAH,27.2
SULAWESI SELATAN,27.4
SULAWESI TENGGARA,30
GORONTALO,26.9
SULAWESI BARAT,30.3
MALUKU,28.4
MALUKU UTARA,23.7
PAPUA BARAT,24.8
PAPUA BARAT DAYA,31
PAPUA,28.6
PAPUA SELATAN,25
PAPUA TENGAH,39.4
PAPUA PEGUNUNGAN,37.3
